SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1616 W Montrose Ave Unit 2G,Chicago,IL,60613,370000,2,2.0,CHI - Uptown,,,2000,1,,362,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1616-W-Montrose-Ave-60613/unit-2G/home/12700268,MRED,11646057,N,Y,41.9617248,-87.6698944
MLS Listing,,Condo/Co-op,1138 W Pratt Blvd Unit 2S,Chicago,IL,60626,274900,2,2.0,CHI - Rogers Park,1000,,1914,1,275,356,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1138-W-Pratt-Blvd-60626/unit-2S/home/26803218,MRED,11645858,N,Y,42.006091,-87.660203
MLS Listing,,Condo/Co-op,655 W Irving Park Rd #5313,Chicago,IL,60613,212000,1,1.0,Park Place Tower,762,,1973,1,278,813,Active,,,https://www.redfin.com/IL/Chicago/655-W-Irving-Park-Rd-60613/unit-5313/home/12688974,MRED,11645806,N,Y,41.9544485,-87.6469986
MLS Listing,,Condo/Co-op,2612 N Whipple St #3,Chicago,IL,60647,325000,2,2.0,CHI - Logan Square,,,1904,1,,332,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/2612-N-Whipple-St-60647/unit-3/home/26806376,MRED,11642461,N,Y,41.9290757,-87.7038007
MLS Listing,,Condo/Co-op,3836 W Lexington St #1,Chicago,IL,60624,100000,4,1.0,CHI - West Garfield Park,1200,,1904,1,83,,Active,,,https://www.redfin.com/IL/Chicago/3836-W-Lexington-St-60624/unit-1/home/13256848,MRED,11645555,N,Y,41.8719439,-87.7218811
MLS Listing,,Condo/Co-op,1622 N Mozart St Unit 1N,Chicago,IL,60647,465000,3,3.0,CHI - West Town,2200,,2003,1,211,232,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1622-N-Mozart-St-60647/unit-1N/home/12602442,MRED,11640177,N,Y,41.9109693,-87.6983077
MLS Listing,,Condo/Co-op,1542 E 67th Pl Unit 1E,Chicago,IL,60637,230000,3,2.0,CHI - South Shore,1700,,1911,1,135,200,Active,,,https://www.redfin.com/IL/Chicago/1542-E-67th-Pl-60637/unit-1E/home/21792834,MRED,11645239,N,Y,41.7726389,-87.5870334
MLS Listing,,Multi-Family (2-4 Unit),5929 S Paulina St,Chicago,IL,60636,179000,6,2.0,CHI - West Englewood,,3049,1910,1,,,Active,,,https://www.redfin.com/IL/Chicago/5929-S-Paulina-St-60636/home/13937774,MRED,11644818,N,Y,41.7858544,-87.6664932
MLS Listing,,Single Family Residential,1700 W 91st Pl,Chicago,IL,60620,260000,3,3.0,CHI - Washington Heights,2200,6250,1924,1,118,,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1700-W-91st-Pl-60620/home/13099144,MRED,11644773,N,Y,41.7277033,-87.6654915
MLS Listing,,Multi-Family (2-4 Unit),6625 N California Ave,Chicago,IL,60645,525000,6,4.0,CHI - West Ridge,,,1958,1,,,Active,,,https://www.redfin.com/IL/Chicago/6625-N-California-Ave-60645/home/13582438,MRED,11640667,N,Y,42.0019766,-87.6994412
MLS Listing,,Condo/Co-op,1601 S State St Unit 3E,Chicago,IL,60616,384900,3,2.0,CHI - Near South Side,1650,,2004,1,233,670,Active,,,https://www.redfin.com/IL/Chicago/1601-S-State-St-60616/unit-3E/home/179110292,MRED,11644652,N,Y,41.8599299,-87.6268884
MLS Listing,,Condo/Co-op,100 E 14th St #1807,Chicago,IL,60605,399000,2,2.0,CHI - Near South Side,1248,,2008,2,320,610,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/100-E-14th-St-60605/unit-1807/home/39570460,MRED,11644076,N,Y,41.8645195,-87.6238055
MLS Listing,,Condo/Co-op,2214 N Campbell Ave Unit 1B,Chicago,IL,60647,379999,3,3.0,CHI - Logan Square,1600,,1894,2,237,286,Active,,,https://www.redfin.com/IL/Chicago/2214-N-Campbell-Ave-60647/unit-1B/home/18936313,MRED,11643850,N,Y,41.9221112,-87.6896587
MLS Listing,,Single Family Residential,8500 S Keeler Ave,Chicago,IL,60652,320000,3,1.5,CHI - Ashburn,1222,5148,1968,2,262,,Active,,,https://www.redfin.com/IL/Chicago/8500-S-Keeler-Ave-60652/home/13967353,MRED,11643825,N,Y,41.7382956,-87.7267083
MLS Listing,,Condo/Co-op,1440 S Michigan Ave #514,Chicago,IL,60605,345000,2,2.0,CHI - Near South Side,1100,,2000,2,314,478,Active,October-8-2022 11:00 AM,October-8-2022 01:00 PM,https://www.redfin.com/IL/Chicago/1440-S-Michigan-Ave-60605/unit-514/home/12733007,MRED,11643799,N,Y,41.863073831,-87.62441374
MLS Listing,,Multi-Family (2-4 Unit),1936 W Belle Plaine Ave,Chicago,IL,60613,979900,6,3.0,CHI - North Center,,,1898,5,,,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/1936-W-Belle-Plaine-Ave-60613/home/13389613,MRED,11640604,N,Y,41.9561936,-87.677857
MLS Listing,,Single Family Residential,419 E 42nd St,Chicago,IL,60653,455000,8,3.5,CHI - Grand Boulevard,3900,4922,1893,5,117,,Active,October-8-2022 02:00 PM,October-8-2022 04:00 PM,https://www.redfin.com/IL/Chicago/419-E-42nd-St-60653/home/13960954,MRED,11638571,N,Y,41.8182449,-87.6158032
MLS Listing,,Condo/Co-op,1841 S Calumet Ave #1511,Chicago,IL,60616,345000,2,2.0,CHI - Near South Side,1080,,2004,5,319,644,Active,,,https://www.redfin.com/IL/Chicago/1841-S-Calumet-Ave-60616/unit-1511/home/18937852,MRED,11634799,N,Y,41.8573213,-87.6189079
MLS Listing,,Condo/Co-op,1110 N Lake Shore Dr Unit 4N,Chicago,IL,60611,485000,3,2.5,CHI - Near North Side,2122,,1969,5,229,2540,Active,,,https://www.redfin.com/IL/Chicago/1110-N-Lake-Shore-Dr-60611/unit-4N/home/14122746,MRED,11641991,N,Y,41.902836,-87.625043
MLS Listing,,Townhouse,3657 S Normal Ave Unit E,Chicago,IL,60609,470000,3,2.5,CHI - Bridgeport,1640,,1997,5,287,,Active,,,https://www.redfin.com/IL/Chicago/3657-S-Normal-Ave-60609/unit-E/home/14072408,MRED,11641978,N,Y,41.8273796,-87.6385494
MLS Listing,,Single Family Residential,6437 S Troy St,Chicago,IL,60629,280000,5,2.5,CHI - Chicago Lawn,1150,3136,1919,5,243,,Active,,,https://www.redfin.com/IL/Chicago/6437-S-Troy-St-60629/home/13988041,MRED,11641977,N,Y,41.7760724,-87.701577
MLS Listing,,Condo/Co-op,1143 S Plymouth Ct #604,Chicago,IL,60605,289900,2,2.0,Dearborn Park,1250,,1979,6,232,553,Active,,,https://www.redfin.com/IL/Chicago/1143-S-Plymouth-Ct-60605/unit-604/home/14091229,MRED,11639645,N,Y,41.8688062,-87.6282799
MLS Listing,,Condo/Co-op,1914 N Sheffield Ave Unit 2F,Chicago,IL,60614,415000,2,1.0,CHI - Lincoln Park,,,1889,6,,232,Active,,,https://www.redfin.com/IL/Chicago/1914-N-Sheffield-Ave-60614/unit-2F/home/13352007,MRED,11641451,N,Y,41.916541,-87.653664
MLS Listing,,Condo/Co-op,6250 N Francisco Ave Unit GBE,Chicago,IL,60659,139000,2,1.0,CHI - West Ridge,,,1950,6,,262,Active,,,https://www.redfin.com/IL/Chicago/6250-N-Francisco-Ave-60659/unit-GBE/home/181753220,MRED,11628403,N,Y,41.9956195,-87.7023048
MLS Listing,,Condo/Co-op,2753 N Hampden Ct Unit 2B,Chicago,IL,60614,1895000,4,4.5,CHI - Lincoln Park,2902,,2019,6,653,650,Active,October-8-2022 12:00 PM,October-8-2022 02:00 PM,https://www.redfin.com/IL/Chicago/2753-N-Hampden-Ct-60614/unit-2B/home/144232690,MRED,11641379,N,Y,41.9322901,-87.6420418
MLS Listing,,Condo/Co-op,3651 N Kedvale Ave Unit 2A,Chicago,IL,60641,145000,1,1.0,CHI - Irving Park,,,1929,6,,260,Active,,,https://www.redfin.com/IL/Chicago/3651-N-Kedvale-Ave-60641/unit-2A/home/12638899,MRED,11641192,N,Y,41.9478682,-87.7301918
MLS Listing,,Condo/Co-op,2004 W Erie St Unit 1W,Chicago,IL,60612,765000,4,3.0,CHI - West Town,,,2013,6,,300,Active,,,https://www.redfin.com/IL/Chicago/2004-W-Erie-St-60612/unit-1W/home/113044196,MRED,11610855,N,Y,41.8932873,-87.6772969
MLS Listing,,Condo/Co-op,2700 N Hampden Ct Unit 18C,Chicago,IL,60614,305000,2,2.0,CHI - Lincoln Park,1200,,1968,6,254,916,Active,,,https://www.redfin.com/IL/Chicago/2700-N-Hampden-Ct-60614/unit-18C/home/13368686,MRED,11641053,N,Y,41.9308327,-87.6419459
MLS Listing,,Condo/Co-op,1505 N Fairfield Ave Unit 3N,Chicago,IL,60622,534900,2,2.0,CHI - West Town,,,2017,6,,155,Active,,,https://www.redfin.com/IL/Chicago/1505-N-Fairfield-Ave-60622/unit-3N/home/112688535,MRED,11641050,N,Y,41.908571,-87.695354
MLS Listing,,Condo/Co-op,2529 N Halsted St Unit 2S,Chicago,IL,60614,565000,2,2.0,Lillview Condominiums,1800,,1997,7,314,270,Active,,,https://www.redfin.com/IL/Chicago/2529-N-Halsted-St-60614/unit-2S/home/12804448,MRED,11640346,N,Y,41.9281067,-87.6485351
MLS Listing,,Condo/Co-op,1464 S Michigan Ave #505,Chicago,IL,60605,295000,2,1.0,Marquee,900,,2008,7,328,537,Active,,,https://www.redfin.com/IL/Chicago/1464-S-Michigan-Ave-60605/unit-505/home/39570938,MRED,11640320,N,Y,41.8622613,-87.624234
